name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,Type,popular
Glen's Bakehouse,Yes,No,4.4,1106,Lavelle Road,others,others,600.0,Desserts,1
4Foodiez - The Restaurant,No,No,3.0,23,Electronic City,Quick Bites,others,400.0,Dine-out,0
99 Pancakes,Yes,No,4.5,344,Koramangala 5th Block,others,others,300.0,Cafes,1
Sandwich Hub,Yes,No,3.4,12,Jayanagar,Quick Bites,others,300.0,Delivery,0
Shake The Shake,Yes,No,3.700141861024285,0,Ejipura,Quick Bites,others,200.0,Delivery,0
Rahaman's Mess,No,No,3.700141861024285,0,others,others,others,200.0,Dine-out,0
By Two Coffee,No,No,3.3,31,others,others,others,300.0,Cafes,0
Four Seasons Fast Food Center,Yes,No,3.7,136,Malleshwaram,Quick Bites,"North Indian, Chinese, Biryani",400.0,Dine-out,0
Waah Chef,Yes,No,3.3,4,others,others,others,300.0,Dine-out,0
Loca Moca,No,No,2.9,45,Frazer Town,Cafe,"Cafe, Continental",600.0,Dine-out,0
Biriyani Mane,Yes,No,3.7,159,Jayanagar,Casual Dining,others,700.0,Dine-out,0
Northern Bites,No,No,3.700141861024285,0,Bannerghatta Road,Quick Bites,others,350.0,Delivery,0
Aadhya Hotel,Yes,No,3.3,5,Basavanagudi,"Casual Dining, Bar",others,800.0,Delivery,0
Wok With Chung,No,No,3.8,688,Marathahalli,Casual Dining,"Chinese, Thai",1000.0,Dine-out,0
Willys Top Cafe,Yes,No,4.0,310,Jayanagar,Cafe,others,750.0,Delivery,1
Bangalore Grill House,No,No,3.2,6,others,Quick Bites,others,300.0,Delivery,0
Pulimunchi,Yes,Yes,4.1,532,others,Casual Dining,others,1000.0,Dine-out,1
Ministry of Burger,Yes,No,3.700141861024285,0,others,Delivery,Continental,500.0,Delivery,0
Grand Taj,No,No,3.700141861024285,0,Electronic City,Quick Bites,"Biryani, North Indian, Chinese",200.0,Delivery,0
Coal Grill & Cafe,No,No,3.3,8,BTM,Quick Bites,Arabian,300.0,Dine-out,0
Kaapi Kendra,Yes,No,3.7,14,Jayanagar,Quick Bites,South Indian,100.0,Delivery,0
Cake N Cookies,No,No,3.700141861024285,0,JP Nagar,Bakery,Bakery,350.0,Desserts,0
Cafe Thulp,Yes,No,4.0,722,Kammanahalli,Cafe,others,1000.0,Cafes,1
Hotel Rangoon,Yes,No,3.7,17,Ulsoor,Quick Bites,others,300.0,Delivery,0
Kritunga Restaurant,Yes,No,3.7,856,Whitefield,Casual Dining,others,650.0,Dine-out,0
Oye Amritsar,Yes,Yes,4.1,452,Church Street,Casual Dining,North Indian,600.0,Delivery,1
360 Atoms Restaurant And Cafe,Yes,No,3.1,13,Banashankari,Cafe,others,400.0,Delivery,0
Zeeshan,Yes,No,3.8,214,Koramangala 7th Block,Casual Dining,others,700.0,Dine-out,0
Umami & Beyond,Yes,No,3.7,23,Indiranagar,"Takeaway, Delivery",others,400.0,Delivery,0
Rage Chocolatier,No,No,3.700141861024285,0,Residency Road,others,Desserts,400.0,Desserts,0
Hyderabadi Biryani Hub,Yes,No,3.4,52,Sarjapur Road,Quick Bites,"Biryani, North Indian",600.0,Dine-out,0
Hatti Kaapi,Yes,No,4.0,89,Jayanagar,Quick Bites,others,200.0,Delivery,1
Sathya's,No,Yes,4.1,759,others,others,"North Indian, Chinese",1200.0,Dine-out,1
Royal Restaurant,No,No,3.2,7,Shivajinagar,Quick Bites,"North Indian, Chinese",200.0,Dine-out,0
The Bong Palate,Yes,No,3.8,61,BTM,Quick Bites,others,300.0,Delivery,0
Bangarpet Chat Express,Yes,No,3.4,6,Basavanagudi,Quick Bites,others,100.0,Delivery,0
Sri Udupi Sagar,No,No,3.5,12,BTM,Quick Bites,South Indian,200.0,Dine-out,0
Gowdru Mane Oota,Yes,No,3.7,83,JP Nagar,Quick Bites,others,400.0,Delivery,0
Arya Hungry?,Yes,No,4.3,278,Koramangala 7th Block,Quick Bites,North Indian,450.0,Delivery,1
Bharani's,No,No,3.700141861024285,0,MG Road,Quick Bites,South Indian,300.0,Dine-out,0
Faasos,Yes,No,4.0,462,others,Quick Bites,others,500.0,Dine-out,1
Tasty Homely Food,Yes,No,3.700141861024285,0,others,"Takeaway, Delivery",others,350.0,Delivery,0
Soda Bottle Opener Wala,Yes,Yes,4.4,3702,Lavelle Road,others,others,1300.0,Dine-out,1
Sri Shankar Andhra Mess,No,No,3.3,4,Whitefield,others,South Indian,200.0,Dine-out,0
Andhra Star Biryani,No,No,3.2,6,Brookefield,Quick Bites,Biryani,200.0,Delivery,0
Kanchanjunga Kitchen - The Flavour of Hills,Yes,No,3.700141861024285,0,others,Quick Bites,others,300.0,Delivery,0
Sapid.in,No,No,3.700141861024285,0,Bannerghatta Road,Delivery,North Indian,350.0,Delivery,0
Wats Ur Scoop?,Yes,No,4.0,56,Indiranagar,Dessert Parlor,"Desserts, Ice Cream",300.0,Desserts,1
Parika Multicuisine Restaurant,Yes,Yes,3.8,203,Richmond Road,Casual Dining,others,1200.0,Delivery,0
Bottle & Glass,No,Yes,4.0,988,Indiranagar,others,others,1400.0,Drinks & nightlife,1
Fujian Express,Yes,No,3.700141861024285,0,Electronic City,"Takeaway, Delivery","Chinese, Thai",200.0,Delivery,0
Rajdhani Thali Restaurant,Yes,Yes,3.9,902,Whitefield,Casual Dining,others,900.0,Dine-out,0
Ambur Hot Dum Biriyani,No,No,3.700141861024285,0,Shivajinagar,Quick Bites,Biryani,250.0,Dine-out,0
The Taj Hotel,No,No,3.5,12,others,Quick Bites,others,350.0,Delivery,0
Intalia,Yes,No,3.6,323,Bannerghatta Road,others,others,800.0,Delivery,0
The Shawarma Inc,Yes,No,3.3,94,Koramangala 5th Block,Quick Bites,others,200.0,Delivery,0
The Grill House,Yes,Yes,4.1,765,Ulsoor,"Casual Dining, Bar",others,1200.0,Delivery,1
Tata Cha,Yes,No,3.9,67,Church Street,others,others,500.0,Dine-out,0
Red Chilli,No,No,3.0,18,Brookefield,others,"Chinese, Thai",600.0,Delivery,0
Cafe Cassia& Deli,No,No,4.2,116,Ulsoor,others,others,1000.0,Cafes,1
Gooey & Fluffy,Yes,No,3.9,89,others,Delivery,"Desserts, Bakery",200.0,Desserts,0
Butter Side Up,Yes,No,4.1,111,Bellandur,Dessert Parlor,"Desserts, Bakery",600.0,Desserts,1
INDULGE by InnerChef,Yes,No,3.6,32,Whitefield,Bakery,"Desserts, Bakery",400.0,Desserts,0
Vasudev Adiga's,No,No,3.4,60,Church Street,Quick Bites,"South Indian, North Indian, Chinese, Street Food",250.0,Dine-out,0
Coastal Delight,Yes,No,4.1,198,Indiranagar,Casual Dining,others,650.0,Delivery,1
The Milkshake Theory,No,No,3.700141861024285,0,Whitefield,others,"Beverages, Fast Food",400.0,Delivery,0
Kick Out the Jams,Yes,No,4.0,529,Ejipura,Delivery,others,350.0,Delivery,1
Cafe Palmyra,No,Yes,4.2,519,Whitefield,others,others,2000.0,Dine-out,1
Zengi Pub & Restaurant,Yes,No,3.7,32,BTM,others,others,900.0,Delivery,0
Mojo Pizza - 2X Toppings,Yes,No,4.1,289,Rajajinagar,"Takeaway, Delivery",Pizza,600.0,Delivery,1
Happy Belly Bakes,Yes,No,4.1,252,Frazer Town,others,others,350.0,Desserts,1
Fishland Deluxe,No,No,3.5,9,Jayanagar,Quick Bites,others,500.0,Delivery,0
HOMMS,Yes,No,4.5,224,Marathahalli,Quick Bites,others,300.0,Delivery,1
Burger King,Yes,No,3.9,1043,Koramangala 7th Block,Quick Bites,others,600.0,Dine-out,0
Mumbai Kulfi,Yes,No,4.0,92,HSR,Dessert Parlor,Ice Cream,100.0,Delivery,1
Lassi Xpress,No,No,3.4,7,others,others,others,200.0,Delivery,0
3 Leafs,Yes,No,3.7,128,others,Casual Dining,"North Indian, South Indian, Chinese",600.0,Delivery,0
Alchemy - The Chancery Pavilion,No,Yes,4.3,476,Residency Road,others,others,2000.0,Dine-out,1
So-Fat's Dosas,No,No,3.8,43,BTM,Quick Bites,South Indian,200.0,Delivery,0
Mr. Singh Da Dhaba,Yes,No,3.6,241,others,Quick Bites,"North Indian, Chinese",300.0,Delivery,0
Amravathi Restaurants & Caterers,No,No,3.1,6,BTM,Quick Bites,"North Indian, Chinese",400.0,Delivery,0
Express Food Point,No,No,3.700141861024285,0,JP Nagar,Quick Bites,others,300.0,Dine-out,0
Chaiwala,Yes,No,3.1,53,Koramangala 1st Block,Quick Bites,Fast Food,100.0,Dine-out,0
Debby's Kitchen,Yes,No,3.6,16,Frazer Town,Quick Bites,Chinese,300.0,Delivery,0
Snack'Ups,Yes,No,3.6,61,others,Quick Bites,Fast Food,250.0,Dine-out,0
Teppan Japanese Grill & Sushi Bar,Yes,No,4.3,911,Ulsoor,Casual Dining,others,2000.0,Dine-out,1
Birthday Buddy,No,No,3.700141861024285,0,JP Nagar,others,"North Indian, South Indian, Chinese",1200.0,Dine-out,0
Rescafe,No,No,3.8,41,Residency Road,Quick Bites,Beverages,100.0,Dine-out,0
X Cafe,No,No,3.700141861024285,0,Shanti Nagar,Cafe,others,400.0,Dine-out,0
Golden Fork,No,No,3.700141861024285,0,Whitefield,Quick Bites,"South Indian, Chinese, North Indian",200.0,Delivery,0
VegiGate,No,No,3.700141861024285,0,Sarjapur Road,others,others,500.0,Delivery,0
Ice Stone Creamery,Yes,No,3.7,42,Jayanagar,Dessert Parlor,"Desserts, Ice Cream",400.0,Desserts,0
Lassi Corner,Yes,No,3.5,16,Koramangala 5th Block,others,"Beverages, Desserts",300.0,Delivery,0
Delhi Base Sri Food Court,Yes,No,3.9,505,Electronic City,Quick Bites,others,250.0,Delivery,0
Fragrant Kitchen,No,No,3.8,110,Kalyan Nagar,others,others,700.0,Desserts,0
Juice And Joy,No,No,3.700141861024285,0,Jayanagar,others,"Beverages, Fast Food",150.0,Delivery,0
WAT Bar - Sterlings MAC Hotel,No,No,3.8,46,Old Airport Road,others,Continental,1800.0,Drinks & nightlife,0
On The Nose,Yes,No,3.8,616,BTM,Cafe,others,600.0,Delivery,0
Bistro Claytopia,Yes,Yes,4.1,1847,Koramangala 1st Block,Cafe,others,600.0,Cafes,1
Donne Biriyani combos,Yes,No,3.700141861024285,0,others,Casual Dining,Biryani,400.0,Delivery,0
Namms Cafe,Yes,No,3.2,8,others,Delivery,others,300.0,Delivery,0
Sugar Rush,No,No,3.8,39,Banashankari,Bakery,"Bakery, Desserts",300.0,Desserts,0
Samosa Singh,Yes,No,4.0,153,JP Nagar,Quick Bites,others,200.0,Delivery,1
Cafe Srinidhi,No,No,3.1,91,Indiranagar,Quick Bites,others,200.0,Dine-out,0
Nagarjuna,No,No,4.2,1292,Bannerghatta Road,Casual Dining,"Andhra, Biryani",800.0,Delivery,1
Kudla - Hotel Ramanashree,Yes,Yes,4.1,354,Richmond Road,Casual Dining,others,1200.0,Dine-out,1
Galito's,Yes,No,4.6,404,Bannerghatta Road,Casual Dining,others,1000.0,Delivery,1
Healthie,Yes,No,3.9,106,Koramangala 7th Block,Delivery,others,600.0,Delivery,0
Wangs Kitchen,Yes,No,2.4,438,HSR,Casual Dining,Chinese,1000.0,Dine-out,0
The Eatery Cafe & Restaurant,No,No,3.6,19,Whitefield,others,others,800.0,Dine-out,0
Knight Ryders,Yes,No,3.4,239,BTM,Delivery,"North Indian, Chinese",400.0,Delivery,0
The Salt Grill - Hilton Bangalore Embassy Golflinks,No,Yes,4.1,94,Domlur,others,others,3000.0,Dine-out,1
M.M.A Kababs Rolls & Biryani Center,Yes,No,2.7,67,others,Quick Bites,others,400.0,Delivery,0
Biryani Junction,Yes,No,2.3,298,others,Quick Bites,"Biryani, North Indian, Chinese",450.0,Dine-out,0
Sri Krishna Delight,Yes,No,3.700141861024285,0,BTM,Quick Bites,"North Indian, South Indian",250.0,Delivery,0
Burger King,Yes,No,3.9,727,Kammanahalli,Quick Bites,others,600.0,Dine-out,0
Akshara,Yes,No,4.0,136,Marathahalli,Casual Dining,others,1000.0,Dine-out,1
La Pino'z Pizza,Yes,No,4.1,504,Koramangala 4th Block,Quick Bites,others,600.0,Delivery,1
Snacks Joint,Yes,No,3.8,185,others,Quick Bites,Fast Food,150.0,Dine-out,0
Sethji Home Made Food,Yes,No,3.6,228,Indiranagar,Quick Bites,North Indian,350.0,Delivery,0
The Market - The Ritz-Carlton,No,Yes,4.3,619,Residency Road,others,others,3400.0,Buffet,1
Soup'ermanz Kitchen,Yes,No,4.1,433,HSR,Cafe,others,750.0,Delivery,1
Grill 99 - The Ritz-Carlton,No,No,3.4,12,Residency Road,others,others,4000.0,Dine-out,0
Chaai Resto,Yes,No,3.700141861024285,0,New BEL Road,others,others,250.0,Delivery,0
Shaahi Mezbaan Restaurant,No,No,3.1,9,BTM,Quick Bites,North Indian,350.0,Dine-out,0
Malabar Bay,Yes,Yes,4.1,1541,BTM,Casual Dining,others,800.0,Delivery,1
Straight From The Heart,No,No,3.4,5,Koramangala 6th Block,Bakery,"Bakery, Desserts",300.0,Desserts,0
The Breakfast Adda,Yes,No,3.700141861024285,0,Bannerghatta Road,Delivery,Continental,250.0,Delivery,0
Om Made Cafe,No,No,4.1,2738,Koramangala 5th Block,Cafe,others,1300.0,Dine-out,1
Tibetan Kitchen,Yes,No,4.3,247,Koramangala 5th Block,Quick Bites,others,600.0,Delivery,1
Sri Krishna Delight,Yes,No,3.700141861024285,0,BTM,Quick Bites,"North Indian, South Indian",250.0,Dine-out,0
Mint Spice CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© & Restaurant,Yes,No,3.0,12,Bellandur,Casual Dining,"North Indian, Chinese",500.0,Dine-out,0
Bangaliana,Yes,No,3.7,11,Indiranagar,Quick Bites,others,500.0,Delivery,0
Bangalore Agarwal Bhavan,Yes,No,3.9,137,Jayanagar,Quick Bites,others,400.0,Delivery,0
Naachiyar's,Yes,No,3.9,119,Ulsoor,Casual Dining,others,600.0,Dine-out,0
RotiCurry,Yes,No,3.2,28,HSR,Quick Bites,others,300.0,Delivery,0
Oyalo,Yes,No,3.0,16,others,Quick Bites,Pizza,300.0,Delivery,0
Sakshi,Yes,No,3.0,38,Bannerghatta Road,Casual Dining,others,550.0,Delivery,0
Home Kitchen,No,No,3.700141861024285,0,New BEL Road,Delivery,North Indian,250.0,Delivery,0
Sidra Eatery,Yes,No,3.9,28,Kammanahalli,Quick Bites,"North Indian, Continental",400.0,Dine-out,0
Blue Nile Coffee Shop,No,No,3.700141861024285,0,others,Cafe,Cafe,600.0,Dine-out,0
S L V Food Joint,Yes,No,3.4,14,Kalyan Nagar,Quick Bites,others,250.0,Dine-out,0
Sri Vinayaka 99 Variety Dosa,Yes,No,3.700141861024285,0,Marathahalli,Quick Bites,South Indian,350.0,Delivery,0
Fiero! Pizzeria,Yes,No,4.0,63,Koramangala 6th Block,Quick Bites,others,400.0,Delivery,1
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Mor'ish,Yes,No,4.1,114,Richmond Road,Cafe,others,700.0,Cafes,1
Meenu Oota Da Maane,Yes,No,3.2,23,Brigade Road,Casual Dining,others,700.0,Dine-out,0
Swaadam Biryanis,Yes,No,3.700141861024285,0,Marathahalli,Delivery,others,300.0,Delivery,0
The Local - Burger Bar,No,No,3.8,152,Koramangala 6th Block,others,others,1500.0,Dine-out,0
BLOW,Yes,Yes,4.2,935,Church Street,Cafe,others,750.0,Cafes,1
Hotel Ramprasad,Yes,No,4.2,93,Brigade Road,Quick Bites,"South Indian, Chinese",300.0,Dine-out,1
Cake Art,No,No,2.9,27,JP Nagar,others,Bakery,400.0,Delivery,0
Sultan - Palace Darbar Restaurant,No,No,3.2,7,others,Quick Bites,"North Indian, Chinese",400.0,Dine-out,0
Kabab Souq,Yes,No,3.6,112,Richmond Road,Quick Bites,others,500.0,Dine-out,0
Side Street Kitchen,No,No,3.700141861024285,0,Koramangala 5th Block,Quick Bites,others,400.0,Dine-out,0
Bangalore Grill House,No,No,3.2,6,others,Quick Bites,others,300.0,Dine-out,0
New Kudla Family Resturant,Yes,No,3.2,4,MG Road,Quick Bites,"North Indian, Chinese",450.0,Delivery,0
Saro Restaurant,No,No,3.700141861024285,0,Marathahalli,Quick Bites,South Indian,200.0,Dine-out,0
Mahesh Friends Food Center,Yes,No,2.9,126,BTM,Quick Bites,"Chinese, North Indian",300.0,Delivery,0
Stories,Yes,Yes,4.2,2171,JP Nagar,others,others,1200.0,Delivery,1
Fandom at Gilly's Redefined,No,No,3.9,105,Koramangala 4th Block,others,Finger Food,1500.0,Drinks & nightlife,0
Mangala's Tea Time Cafe,Yes,No,3.700141861024285,0,Koramangala 1st Block,Quick Bites,others,150.0,Delivery,0
Bread and Circus,Yes,No,3.7,50,Shanti Nagar,Cafe,others,550.0,Delivery,0
Lucknow Central,Yes,No,3.0,21,Marathahalli,Quick Bites,North Indian,350.0,Delivery,0
Sri Cafe Hotel,No,No,3.700141861024285,0,Shanti Nagar,Quick Bites,South Indian,150.0,Dine-out,0
Rahhams,Yes,No,3.9,850,Frazer Town,Casual Dining,others,700.0,Delivery,0
TeaChaTe Express,No,No,3.700141861024285,0,JP Nagar,Quick Bites,others,150.0,Delivery,0
Chung Wah,No,No,2.9,17,Bellandur,others,"Chinese, Thai",400.0,Dine-out,0
Peace Restaurant,Yes,No,3.8,661,Koramangala 5th Block,Casual Dining,others,500.0,Dine-out,0
Wellness Cafe,No,No,3.700141861024285,0,Bannerghatta Road,Cafe,others,400.0,Delivery,0
House Of Commons,No,Yes,4.8,4441,Koramangala 5th Block,others,others,1000.0,Delivery,1
Haagen Dazs,Yes,No,3.9,79,Koramangala 7th Block,Dessert Parlor,"Ice Cream, Desserts",800.0,Delivery,0
Dublin - ITC Windsor,No,Yes,4.1,187,others,others,others,2500.0,Dine-out,1
Nukkad Point,No,No,3.700141861024285,0,Old Airport Road,Quick Bites,North Indian,150.0,Dine-out,0
Boston Barista - Kappayum Curriyum,Yes,No,3.6,64,BTM,Quick Bites,Kerala,400.0,Dine-out,0
Hotel Tanish,Yes,No,3.7,15,HSR,Quick Bites,South Indian,250.0,Delivery,0
Hatti Punjab Di,No,No,3.700141861024285,0,Jayanagar,Casual Dining,"North Indian, Chinese",600.0,Delivery,0
Aubree,Yes,No,3.700141861024285,0,Shivajinagar,others,"Cafe, Bakery",400.0,Cafes,0
Holiday Fast Food,No,No,3.4,21,Ejipura,Quick Bites,others,350.0,Dine-out,0
Hotel Chandrika,Yes,No,3.8,208,Cunningham Road,Casual Dining,"South Indian, North Indian, Chinese, Street Food",400.0,Delivery,0
Goli Vada Pav No. 1,Yes,No,3.7,93,Basavanagudi,Quick Bites,Street Food,200.0,Delivery,0
Body Temple,Yes,No,3.3,12,BTM,Quick Bites,others,500.0,Dine-out,0
Cafe Azzure,Yes,Yes,4.3,2654,MG Road,Cafe,others,1200.0,Delivery,1
Eat Street,No,No,4.2,1534,Koramangala 6th Block,Quick Bites,others,600.0,Desserts,1
Tandoori Club,Yes,No,3.5,5,Domlur,Delivery,"North Indian, Chinese, Biryani",400.0,Delivery,0
Bangalore Brew Works,No,Yes,4.3,2233,Residency Road,others,others,1700.0,Drinks & nightlife,1
BMR Cafe,No,No,3.700141861024285,0,Kammanahalli,Cafe,Cafe,500.0,Cafes,0
Easy Bites,Yes,No,4.0,75,BTM,"Takeaway, Delivery",others,300.0,Delivery,1
Nandini Cafe,No,No,3.700141861024285,0,HSR,Quick Bites,Fast Food,200.0,Dine-out,0
Srikrishna Bhavan,Yes,No,3.8,42,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",300.0,Delivery,0
The Paratha Company,Yes,No,4.2,405,Whitefield,Delivery,North Indian,400.0,Delivery,1
Khan Saheb Grills And Rolls,Yes,No,3.2,136,Sarjapur Road,Quick Bites,others,400.0,Delivery,0
Kabab Mirchi,No,No,3.4,46,Whitefield,Quick Bites,"North Indian, Mughlai, Chinese",350.0,Delivery,0
Holige Mane,No,No,3.700141861024285,0,BTM,Quick Bites,South Indian,150.0,Delivery,0
Firangi Bake,Yes,No,4.0,53,others,Delivery,others,600.0,Delivery,1
Hotel Janatha,No,No,4.1,748,Malleshwaram,Quick Bites,South Indian,150.0,Dine-out,1
KFC,Yes,No,3.8,505,Banashankari,Quick Bites,"Burger, Fast Food",450.0,Delivery,0
Garage Food Company,Yes,No,3.9,45,HSR,Quick Bites,"Chinese, Momos",300.0,Delivery,0
Slate Cafe,Yes,No,4.1,71,JP Nagar,Cafe,others,600.0,Desserts,1
Kabab Magic,Yes,No,4.0,957,Jayanagar,Quick Bites,others,500.0,Delivery,1
Kadavathur Cafe,No,No,3.700141861024285,0,New BEL Road,Quick Bites,Fast Food,200.0,Dine-out,0
Dal Roti Sabji,Yes,No,4.1,81,Indiranagar,Quick Bites,North Indian,150.0,Dine-out,1
Krispy Kreme,Yes,No,4.0,253,Jayanagar,Dessert Parlor,"Desserts, Beverages",300.0,Desserts,1
Ramji Chaiwale,Yes,No,3.6,20,Jayanagar,Quick Bites,"Beverages, Fast Food",250.0,Delivery,0
Zeee's,Yes,No,3.7,34,Whitefield,Quick Bites,others,300.0,Dine-out,0
Sri Durga Donne Biryani,No,No,3.700141861024285,0,Ejipura,Quick Bites,Biryani,150.0,Dine-out,0
Chikpet Donne Biriyani Corner,Yes,No,3.2,7,others,Quick Bites,"Biryani, Kebab",400.0,Delivery,0
Mustard Food Court,No,No,3.8,57,Electronic City,Quick Bites,"North Indian, Chinese",500.0,Dine-out,0
Ambur Hot Dum Biryani,No,No,3.1,7,Ulsoor,Quick Bites,Biryani,300.0,Delivery,0
Biryani Day,Yes,No,3.8,216,Rajajinagar,Quick Bites,"Biryani, Kebab",400.0,Delivery,0
Avanti Indian Barbeque & Grill,No,No,3.4,46,Domlur,Casual Dining,North Indian,1100.0,Delivery,0
New Sagar Fast Food,No,No,3.6,68,Rajajinagar,Quick Bites,"South Indian, North Indian",450.0,Dine-out,0
Havmor,No,No,3.700141861024285,0,HSR,Dessert Parlor,Ice Cream,200.0,Desserts,0
Mainland China,Yes,Yes,4.4,1555,Indiranagar,Casual Dining,Chinese,1700.0,Dine-out,1
Agnihotri Cuisines,No,No,3.700141861024285,0,MG Road,"Takeaway, Delivery",others,500.0,Delivery,0
Savera Lassi Shop,No,No,3.700141861024285,0,Shivajinagar,others,others,100.0,Delivery,0
Canopy,No,No,3.0,107,MG Road,Casual Dining,others,800.0,Dine-out,0
Dr. Shawarma,Yes,No,3.5,4,HSR,Quick Bites,others,200.0,Delivery,0
The Grub Central,Yes,Yes,4.0,803,HSR,Cafe,others,700.0,Dine-out,1
Smiley's Kitchen,Yes,No,3.700141861024285,0,Koramangala 1st Block,"Takeaway, Delivery","North Indian, Fast Food",450.0,Delivery,0
Chawla's 2 Online.com,Yes,No,3.700141861024285,0,HSR,Delivery,North Indian,800.0,Delivery,0
Le ChÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©ri,No,No,3.8,33,Shanti Nagar,Delivery,"Bakery, Desserts",350.0,Delivery,0
Chai Mane,No,No,3.0,8,Koramangala 5th Block,Quick Bites,others,150.0,Delivery,0
Aasife & Brothers Biriyani Centre,Yes,No,3.8,120,HSR,Casual Dining,others,600.0,Dine-out,0
Phulke Ghar Ke,Yes,No,4.0,545,Bellandur,Quick Bites,"North Indian, Chinese",300.0,Dine-out,1
Samaikya,Yes,Yes,3.9,535,HSR,Casual Dining,others,900.0,Delivery,0
Al-Baik Kabab Centre,No,No,3.700141861024285,0,Banaswadi,Quick Bites,others,300.0,Dine-out,0
Mudpipe Cafe,Yes,Yes,4.5,1879,BTM,Cafe,others,900.0,Dine-out,1
Keventers,Yes,No,4.0,567,Indiranagar,others,others,400.0,Delivery,1
The 13th Floor,No,Yes,4.4,4575,MG Road,others,others,1700.0,Dine-out,1
Tasty Magic,Yes,No,2.7,73,BTM,Casual Dining,"Chinese, North Indian",600.0,Dine-out,0
Swad,No,No,3.7,38,Electronic City,Casual Dining,"North Indian, Chinese",500.0,Dine-out,0
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Delight,No,No,3.2,40,Marathahalli,others,others,400.0,Dine-out,0
Chill-Um Cafe,Yes,Yes,4.1,152,Koramangala 6th Block,Quick Bites,others,600.0,Delivery,1
Nawab's Kitchen,No,No,3.700141861024285,0,Bellandur,Quick Bites,others,400.0,Dine-out,0
Wangs Kitchen,Yes,No,2.5,55,Electronic City,"Takeaway, Delivery",Chinese,1000.0,Delivery,0
Gallop Bar - Davanam Sarovar Portico Suites,No,No,3.5,11,others,others,Finger Food,1600.0,Drinks & nightlife,0
Rayalaseema Ruchulu,No,No,3.700141861024285,0,Electronic City,Casual Dining,others,700.0,Dine-out,0
Hungry Darjeeling Chinese and Thai,Yes,No,3.700141861024285,0,others,Quick Bites,"Chinese, Thai",400.0,Dine-out,0
Shyvan Restaurant,Yes,No,3.6,82,Shanti Nagar,Casual Dining,"North Indian, Chinese",500.0,Dine-out,0
Kitchen's Sea Food Restaurant,No,No,3.4,9,others,"Takeaway, Delivery",others,800.0,Delivery,0
Samosa Singh,No,No,3.700141861024285,0,Kalyan Nagar,Quick Bites,others,250.0,Delivery,0
Lassi Shop,Yes,No,3.5,9,Sarjapur Road,others,others,200.0,Delivery,0
Ambur Star Dum Biryani,Yes,No,3.4,17,Jayanagar,Quick Bites,Biryani,100.0,Dine-out,0
House Of Combos,Yes,No,3.700141861024285,0,Marathahalli,Delivery,others,600.0,Delivery,0
The Oriental Spice - Ashraya Hotel,Yes,No,3.9,158,others,Casual Dining,others,1300.0,Dine-out,0
Eddy's Cafe,Yes,No,4.1,142,Indiranagar,Cafe,others,750.0,Cafes,1
Malabar Mint,No,No,3.4,39,Koramangala 5th Block,Casual Dining,others,700.0,Delivery,0
Swad Plaza,Yes,No,3.4,6,BTM,Quick Bites,"North Indian, Chinese",400.0,Delivery,0
Cool Joint,No,No,3.6,25,Commercial Street,Quick Bites,"Beverages, Desserts",250.0,Dine-out,0
Golden China,Yes,No,3.6,23,Koramangala 1st Block,Quick Bites,Chinese,300.0,Dine-out,0
InBento,No,No,3.700141861024285,0,Shanti Nagar,Delivery,others,900.0,Delivery,0
Happy Brew,No,Yes,4.0,2159,Koramangala 5th Block,others,others,1000.0,Drinks & nightlife,1
C Sharp Kitchen,Yes,No,3.4,50,Church Street,Casual Dining,others,600.0,Dine-out,0
TRIGEREATO,Yes,Yes,4.4,103,others,Cafe,others,700.0,Delivery,1
Chaithanya Andhra Style Family Restaurant,No,No,3.2,4,Cunningham Road,Casual Dining,others,600.0,Dine-out,0
Leon Grill,Yes,No,4.3,172,Koramangala 5th Block,Quick Bites,"Burger, Fast Food",500.0,Dine-out,1
Muthashy's,Yes,No,4.2,465,BTM,Quick Bites,others,400.0,Dine-out,1
The Chameleon,No,No,4.1,163,Electronic City,others,Finger Food,1200.0,Pubs and bars,1
Coal Grill & Cafe,No,No,3.3,8,BTM,Quick Bites,Arabian,300.0,Delivery,0
Ruchie Rich,No,No,3.5,134,Electronic City,Quick Bites,others,200.0,Delivery,0
Shammah's,No,No,3.3,21,others,Quick Bites,"Chinese, North Indian",300.0,Delivery,0
Mamatha Restaurant,Yes,No,2.7,74,others,Casual Dining,others,700.0,Delivery,0
Aroma Spice,Yes,Yes,3.7,83,Kalyan Nagar,Casual Dining,others,800.0,Delivery,0
Cake Dilim,Yes,No,3.6,27,Sarjapur Road,Bakery,Bakery,400.0,Delivery,0
WTF,Yes,No,4.1,93,Koramangala 5th Block,Cafe,"Cafe, Continental",600.0,Dine-out,1
UNIK Food,No,No,3.3,4,Jayanagar,Quick Bites,"North Indian, Chinese",300.0,Delivery,0
